type; ID; name; ID2; data; FR;GB
ALRT;200;;; 0028002800D3021700C85555300A;Rapport trop long;Rapport trop long
ALRT;201;;; 0028002800D8021A00C95555300A;Rapport ras-bord;Rapport ras-bord
ALRT;257;;; 0032008000A401CA01015555300A;Trop de texte;Trop de texte
ALRT;258;;; 0032008000AB01EF01025555300A;Problème mémoire 3D;Problème mémoire 3D
ALRT;1129;;; 0044003000C701CD04695555280A;Oui-Non;Oui-Non
ALRT;1130;;; 0068002C00F501E2046A5555300A;OK;OK
ALRT;1132;;; 003C001200C701E4046C5555300A;Mic-mac index;Mic-mac index
DITL;128;;1;posAndFlags= 66 237 86 309  0x04;Quitter;Quit
DITL;128;;2;posAndFlags= 66 145 86 221  0x04;Annuler;Cancel
DITL;128;;3;posAndFlags= 21 71 56 338  0x88;Voulez-vous vraiment quitter Cassio ?;Do you really want to quit Cassio ?
DITL;128;;4;posAndFlags= 13 19 45 51  0xA0;;
DITL;129;;1;posAndFlags= 375 212 395 292  0x04;OK;OK
DITL;129;;2;posAndFlags= 375 85 395 165  0x04;Annuler;Cancel
DITL;129;;3;posAndFlags= 19 82 38 305  0x88;Choisissez le niveau de la partie:;Choose the level of the game:
DITL;129;;4;posAndFlags= 57 78 73 309  0x06;Débutant;Beginner
DITL;129;;5;posAndFlags= 74 78 90 309  0x06;Amateur;Medium
DITL;129;;6;posAndFlags= 91 78 107 309  0x06;Joueur de club;Club player
DITL;129;;7;posAndFlags= 108 78 124 309  0x06;Fort;Strong
DITL;129;;8;posAndFlags= 125 78 141 309  0x06;Expert;Expert
DITL;129;;9;posAndFlags= 142 78 158 309  0x06;Grand-Maître;Grand-Master
DITL;129;;10;posAndFlags= 159 78 175 309  0x06;Champion;Champion
DITL;129;;11;posAndFlags= 176 78 192 309  0x06;Champion : 3 minutes;Champion : 3 minutes
DITL;129;;12;posAndFlags= 193 78 209 309  0x06;Champion : 5 minutes;Champion : 5 minutes
DITL;129;;13;posAndFlags= 210 78 226 309  0x06;Champion : 10 minutes;Champion : 10 minutes
DITL;129;;14;posAndFlags= 227 78 243 309  0x06;Champion : 25 minutes;Champion : 25 minutes
DITL;129;;15;posAndFlags= 244 78 260 309  0x06;Champion : un mois;Champion : one month
DITL;129;;16;posAndFlags= 261 78 277 309  0x06;Temps infini (analyse);Infinite Time (analysis)
DITL;129;;17;posAndFlags= 287 78 305 143  0x06;Autre :;Other :
DITL;129;;18;posAndFlags= 288 147 304 182  0x10;0;0
DITL;129;;19;posAndFlags= 288 187 305 218  0x08;h. et;h. and
DITL;129;;20;posAndFlags= 288 224 304 243  0x10;15;15
DITL;129;;21;posAndFlags= 288 247 304 322  0x08;minutes;minutes
DITL;129;;22;posAndFlags= 319 74 336 337  0x05;L'horloge est un compte à rebours;Clocks count backwards
DITL;129;;23;posAndFlags= 337 74 353 327  0x05;Cassio ne tombe jamais au temps;Cassio never loses on time
